name,objectid,weight,rank,minPlayers,maxPlayers,playingtime,year,imagePath,category
Watergate,274364,2.2673,160,2,2,60,2019,https://cf.geekdo-images.com/iTBogxNFa3Ymh-6ST3srsw__original/img/ECgm53fEsB3eDVjZjgeejiZ__Qk=/0x0/filters:format(jpeg)/pic4768766.jpg,Strategy
Alchemists,161970,3.9243,161,2,4,120,2014,https://cf.geekdo-images.com/ztNshEv3Fsm46HCJaEOFPw__original/img/SP4ItZ27dLweUPbz_bF7C-P7GtA=/0x0/filters:format(png)/pic2241156.png,Strategy
Tyrants of the Underdark,189932,2.555,162,2,4,60,2016,https://cf.geekdo-images.com/F58jczp5xk9CYFimrytXaw__original/img/m0S3T9_YWM7VvTW1c3pl4tBiu2c=/0x0/filters:format(jpeg)/pic2801874.jpg,Strategy
It's a Wonderful World,271324,2.3236,164,1,5,45,2019,https://cf.geekdo-images.com/od4vDTdXGPSVc-kjLqM11w__original/img/sN8TnSkFGCzNM01b_drFxwYnqlM=/0x0/filters:format(jpeg)/pic4651175.jpg,Strategy
Undaunted: Normandy,268864,2.2421,165,2,2,60,2019,https://cf.geekdo-images.com/iCd6hMGDzsQ_UXh00iKsJA__original/img/QhbQ2AMud-_H0fliiSIvc0dowOU=/0x0/filters:format(jpeg)/pic4602347.jpg,Thematic
Ticket to Ride: Europe,14996,1.9188,166,2,5,60,2005,https://cf.geekdo-images.com/0K1AOciqlMVUWFPLTJSiww__original/img/O37sCRSJLq4S8EpCxFDNVsNBuxE=/0x0/filters:format(jpeg)/pic66668.jpg,Family
Magic: The Gathering,463,3.267,167,2,2,20,1993,https://cf.geekdo-images.com/CxJmNl4wR4InjqyNrMdBTw__original/img/TKQgvl_i6zVYld8Gac8oU-c2ezE=/0x0/filters:format(jpeg)/pic163749.jpg,CGS
Kemet,127023,2.9986,168,2,5,120,2012,https://cf.geekdo-images.com/RmZjhy7_6REp8IaXh9Zqwg__original/img/kRFfkVnQRsBDcbO46TKS6PcT6aE=/0x0/filters:format(jpeg)/pic3979527.jpg,Strategy
Stone Age,34635,2.4603,169,2,4,90,2008,https://cf.geekdo-images.com/elmZegVZ6gp4_5izUgxGQQ__original/img/cR92Dm6yQ3Lgxt1yR81zUb0ooqQ=/0x0/filters:format(jpeg)/pic1632539.jpg,Strategy
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,2511,2.6622,170,1,8,120,1982,https://cf.geekdo-images.com/ptDZ2tJ6dSNiONAx3HH8Tw__original/img/iu21NR45DwHyFY-UPW0m7hwY_vw=/0x0/filters:format(jpeg)/pic3514298.jpg,Thematic
The Lord of the Rings: The Card Game,77423,3.2097,171,1,2,60,2011,https://cf.geekdo-images.com/ZmXi5BbtoWl58ZnKcUy1vw__original/img/nNHf1qRJCVQx_0p-1zM8QKxcywo=/0x0/filters:format(jpeg)/pic906495.jpg,CGS
Too Many Bones: Undertow,235802,4.0303,172,1,2,180,2018,https://cf.geekdo-images.com/AGN1PRSFmhdUyoTjd-qw8A__original/img/Pl7doTXv2kAvdYGqkmvUYomkpJI=/0x0/filters:format(jpeg)/pic3752850.jpg,Thematic
Endeavor: Age of Sail,233398,2.8453,173,2,5,90,2018,https://cf.geekdo-images.com/YXYqQZ05gC9kNlgX7cbR8g__original/img/D4TCl_FNsC867ww_NNj4VmVUBr0=/0x0/filters:format(jpeg)/pic3913274.jpg,Strategy
Legendary Encounters: An Alien Deck Building Game,146652,2.7035,176,1,5,60,2014,https://cf.geekdo-images.com/jSz_KRUxsjGYitoqx9YH1Q__original/img/nrvJtT-4tYTD0fp3Cr57SKpfMfw=/0x0/filters:format(jpeg)/pic2225180.jpg,Thematic
War Chest,249259,2.3047,178,2,4,30,2018,https://cf.geekdo-images.com/BryJNSSDbCohXeaJPx3tpw__original/img/pgmg83e1lUqNo7FTLdscWNDwlPE=/0x0/filters:format(png)/pic4232048.png,Abstract
Istanbul,148949,2.5819,179,2,5,60,2014,https://cf.geekdo-images.com/PHH9Mreen2sBcxV6ZsE3ew__original/img/pHIJibqf-DmlOQD3CfT_rAjGmc0=/0x0/filters:format(jpeg)/pic1885326.jpg,Strategy
Glen More II: Chronicles,265188,3.0132,180,2,4,120,2019,https://cf.geekdo-images.com/sMRuph3HFUcaSpJZihGZKw__original/img/ehoqoTirtFb5p9Wk2SwWV8nr6ZU=/0x0/filters:format(jpeg)/pic5841874.jpg,Strategy
Marco Polo II: In the Service of the Khan,283948,3.3764,181,2,4,120,2019,https://cf.geekdo-images.com/DAgjwjk6qi1VSzv31MPKaQ__original/img/YqHAgv_DmC_IxAPt-VfM3RkBzzY=/0x0/filters:format(png)/pic4970011.png,Strategy
Star Wars: X-Wing Miniatures Game,103885,2.4961,182,2,2,45,2012,https://cf.geekdo-images.com/yNqgVxaqoZepir7Hzkfe-Q__original/img/H6rYWOhYjT_PXTrvHKyX6FEt-vw=/0x0/filters:format(jpeg)/pic1603292.jpg,War
Dominion (Second Edition),209418,2.1579,183,2,4,30,2016,https://cf.geekdo-images.com/4dmyKfqQm_uxA1-chh4JeQ__original/img/5UxDHPldIiCb0uovIwzngR-jx5M=/0x0/filters:format(jpeg)/pic3187001.jpg,Strategy
That's Pretty Clever!,244522,1.8608,185,1,4,30,2018,https://cf.geekdo-images.com/3-unuy5JW1cC8C6EUBNiOA__original/img/YJRIGmJmT0XuhRbOmLN8VdLfEec=/0x0/filters:format(jpeg)/pic4410877.jpg,Family
Xia: Legends of a Drift System,82222,3.1729,187,3,5,180,2014,https://cf.geekdo-images.com/6uEBiPxMH8gfGJ6f3HLNGg__original/img/p-g0LziOt6tE90cVJUvLZF0exfI=/0x0/filters:format(png)/pic1807124.png,Thematic
Welcome To...,233867,1.8397,188,1,100,25,2018,https://cf.geekdo-images.com/g4XmxyKhNVdhC3QPd1purQ__original/img/pb6XFQZFUNOr6OPysOHB3usVDFk=/0x0/filters:format(jpeg)/pic3761012.jpg,Family
Jaipur,54043,1.4618,189,2,2,30,2009,https://cf.geekdo-images.com/_LTujSe_o16nvjDC-J0seA__original/img/zUnAdsgt4dCxvtoRDc_9DHbic0M=/0x0/filters:format(jpeg)/pic5100947.jpg,Family
War of the Ring,9609,3.8465,192,2,4,120,2004,https://cf.geekdo-images.com/JmdqlBJBynZMOciZzkVIkw__original/img/9LYzTUmOTO2enhJvqauMt6odC5Y=/0x0/filters:format(jpeg)/pic725882.jpg,Thematic
Chaos in the Old World,43111,3.1985,194,3,4,120,2009,https://cf.geekdo-images.com/yTe9522sHL-3nhfAMH2cTg__original/img/zN6-x2bWP6lsDAC2FNsvU6ivQIc=/0x0/filters:format(jpeg)/pic1318481.jpg,Thematic
Dune,283355,3.995,196,2,6,180,2019,https://cf.geekdo-images.com/2fgPg6Be--w97zoycObUgg__original/img/7PyNxWs85_OKGOm_jYVFvPwAViE=/0x0/filters:format(jpeg)/pic4815198.jpg,Thematic
